table,region,year,indicator,value,unit,notes
2-7,天津,2024,出生率,4.99,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,天津,2024,死亡率,6.96,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,天津,2024,自然增长率,-1.97,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,河北,2024,总人口,7378,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,河北,2024,城镇人口数,4679,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,河北,2024,城镇人口比重,63.42,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,河北,2024,乡村人口数,2699,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,河北,2024,乡村人口比重,36.58,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,河北,2024,出生率,5.9,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,河北,2024,死亡率,8.22,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,河北,2024,自然增长率,-2.32,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,山西,2024,总人口,3446,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,山西,2024,城镇人口数,2285,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,山西,2024,城镇人口比重,66.32,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,山西,2024,乡村人口数,1161,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,山西,2024,乡村人口比重,33.68,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,山西,2024,出生率,6.94,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,山西,2024,死亡率,8.33,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,山西,2024,自然增长率,-1.39,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,内蒙古,2024,总人口,2388,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,内蒙古,2024,城镇人口数,1689,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,内蒙古,2024,城镇人口比重,70.73,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,内蒙古,2024,乡村人口数,699,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,内蒙古,2024,乡村人口比重,29.27,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,内蒙古,2024,出生率,5.52,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,内蒙古,2024,死亡率,8.36,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,内蒙古,2024,自然增长率,-2.84,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,辽宁,2024,总人口,4155,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,辽宁,2024,城镇人口数,3082,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,辽宁,2024,城镇人口比重,74.18,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,辽宁,2024,乡村人口数,1073,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,辽宁,2024,乡村人口比重,25.82,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,辽宁,2024,出生率,4.32,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,辽宁,2024,死亡率,9.62,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,辽宁,2024,自然增长率,-5.3,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,吉林,2024,总人口,2317,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,吉林,2024,城镇人口数,1524,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,吉林,2024,城镇人口比重,65.78,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,吉林,2024,乡村人口数,793,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,吉林,2024,乡村人口比重,34.22,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,吉林,2024,出生率,4.17,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,吉林,2024,死亡率,9.02,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,吉林,2024,自然增长率,-4.85,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,黑龙江,2024,总人口,3029,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,黑龙江,2024,城镇人口数,2061,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,黑龙江,2024,城镇人口比重,68.05,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,黑龙江,2024,乡村人口数,968,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,黑龙江,2024,乡村人口比重,31.95,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,黑龙江,2024,出生率,3.35,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,黑龙江,2024,死亡率,9.69,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,黑龙江,2024,自然增长率,-6.34,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,上海,2024,总人口,2480,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,上海,2024,城镇人口数,2228,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,上海,2024,城镇人口比重,89.85,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,上海,2024,乡村人口数,252,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,上海,2024,乡村人口比重,10.15,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,上海,2024,出生率,4.75,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,上海,2024,死亡率,6.28,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,上海,2024,自然增长率,-1.53,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,江苏,2024,总人口,8526,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,江苏,2024,城镇人口数,6440,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,江苏,2024,城镇人口比重,75.53,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,江苏,2024,乡村人口数,2086,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,江苏,2024,乡村人口比重,24.47,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,江苏,2024,出生率,4.98,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,江苏,2024,死亡率,7.48,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,江苏,2024,自然增长率,-2.5,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,浙江,2024,总人口,6670,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,浙江,2024,城镇人口数,5033,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,浙江,2024,城镇人口比重,75.46,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,浙江,2024,乡村人口数,1637,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,浙江,2024,乡村人口比重,24.54,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,浙江,2024,出生率,6.17,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,浙江,2024,死亡率,6.53,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,浙江,2024,自然增长率,-0.36,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,安徽,2024,总人口,6123,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,安徽,2024,城镇人口数,3831,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,安徽,2024,城镇人口比重,62.57,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,安徽,2024,乡村人口数,2292,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,安徽,2024,乡村人口比重,37.43,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,安徽,2024,出生率,6.17,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,安徽,2024,死亡率,8.41,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,安徽,2024,自然增长率,-2.24,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,福建,2024,总人口,4193,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,福建,2024,城镇人口数,3011,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,福建,2024,城镇人口比重,71.8,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,福建,2024,乡村人口数,1182,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,福建,2024,乡村人口比重,28.2,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,福建,2024,出生率,6.95,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,福建,2024,死亡率,6.71,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,福建,2024,自然增长率,0.24,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,江西,2024,总人口,4502,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,江西,2024,城镇人口数,2871,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,江西,2024,城镇人口比重,63.77,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,江西,2024,乡村人口数,1631,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,江西,2024,乡村人口比重,36.23,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,江西,2024,出生率,6.65,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,江西,2024,死亡率,7.23,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,江西,2024,自然增长率,-0.58,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,山东,2024,总人口,10080,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,山东,2024,城镇人口数,6701,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,山东,2024,城镇人口比重,66.48,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,山东,2024,乡村人口数,3379,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,山东,2024,乡村人口比重,33.52,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,山东,2024,出生率,6.42,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,山东,2024,死亡率,8.09,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,山东,2024,自然增长率,-1.67,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,河南,2024,总人口,9785,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,河南,2024,城镇人口数,5795,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,河南,2024,城镇人口比重,59.22,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,河南,2024,乡村人口数,3990,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,河南,2024,乡村人口比重,40.78,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,河南,2024,出生率,7.78,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,河南,2024,死亡率,7.89,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,河南,2024,自然增长率,-0.11,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,湖北,2024,总人口,5834,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,湖北,2024,城镇人口数,3871,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,湖北,2024,城镇人口比重,66.35,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,湖北,2024,乡村人口数,1963,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,湖北,2024,乡村人口比重,33.65,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,湖北,2024,出生率,5.38,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,湖北,2024,死亡率,8.52,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,湖北,2024,自然增长率,-3.14,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,湖南,2024,总人口,6539,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,湖南,2024,城镇人口数,4059,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,湖南,2024,城镇人口比重,62.07,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,湖南,2024,乡村人口数,2480,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,湖南,2024,乡村人口比重,37.93,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,湖南,2024,出生率,5.89,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,湖南,2024,死亡率,8.93,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,湖南,2024,自然增长率,-3.04,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,广东,2024,总人口,12780,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,广东,2024,城镇人口数,9701,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,广东,2024,城镇人口比重,75.91,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,广东,2024,乡村人口数,3079,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,广东,2024,乡村人口比重,24.09,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,广东,2024,出生率,8.89,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,广东,2024,死亡率,5.2,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,广东,2024,自然增长率,3.69,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,广西,2024,总人口,5013,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,广西,2024,城镇人口数,2877,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,广西,2024,城镇人口比重,57.39,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,广西,2024,乡村人口数,2136,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,广西,2024,乡村人口比重,42.61,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,广西,2024,出生率,8.37,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,广西,2024,死亡率,7.49,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,广西,2024,自然增长率,0.88,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,海南,2024,总人口,1048,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,海南,2024,城镇人口数,661,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,海南,2024,城镇人口比重,63.08,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,海南,2024,乡村人口数,387,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,海南,2024,乡村人口比重,36.92,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,海南,2024,出生率,9.37,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,海南,2024,死亡率,6.31,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,海南,2024,自然增长率,3.06,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,重庆,2024,总人口,3190,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,重庆,2024,城镇人口数,2301,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,重庆,2024,城镇人口比重,72.14,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,重庆,2024,乡村人口数,889,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,重庆,2024,乡村人口比重,27.86,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,重庆,2024,出生率,5.99,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,重庆,2024,死亡率,8.87,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,重庆,2024,自然增长率,-2.88,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,四川,2024,总人口,8364,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,四川,2024,城镇人口数,5027,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,四川,2024,城镇人口比重,60.1,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,四川,2024,乡村人口数,3337,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,四川,2024,乡村人口比重,39.9,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,四川,2024,出生率,6.41,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,四川,2024,死亡率,9.43,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,四川,2024,自然增长率,-3.02,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,贵州,2024,总人口,3860,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,贵州,2024,城镇人口数,2187,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,贵州,2024,城镇人口比重,56.65,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,贵州,2024,乡村人口数,1673,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,贵州,2024,乡村人口比重,43.35,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,贵州,2024,出生率,10.74,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,贵州,2024,死亡率,7.74,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,贵州,2024,自然增长率,3.0,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,云南,2024,总人口,4655,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,云南,2024,城镇人口数,2519,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,云南,2024,城镇人口比重,54.11,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,云南,2024,乡村人口数,2136,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,云南,2024,乡村人口比重,45.89,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,云南,2024,出生率,8.62,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,云南,2024,死亡率,8.45,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,云南,2024,自然增长率,0.17,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,西藏,2024,总人口,370,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,西藏,2024,城镇人口数,147,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,西藏,2024,城镇人口比重,39.68,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,西藏,2024,乡村人口数,223,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,西藏,2024,乡村人口比重,60.32,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,西藏,2024,出生率,13.87,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,西藏,2024,死亡率,5.44,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,西藏,2024,自然增长率,8.43,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,陕西,2024,总人口,3953,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,陕西,2024,城镇人口数,2615,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,陕西,2024,城镇人口比重,66.14,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,陕西,2024,乡村人口数,1338,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,陕西,2024,乡村人口比重,33.86,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,陕西,2024,出生率,7.36,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,陕西,2024,死亡率,8.05,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,陕西,2024,自然增长率,-0.69,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,甘肃,2024,总人口,2458,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,甘肃,2024,城镇人口数,1397,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,甘肃,2024,城镇人口比重,56.83,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,甘肃,2024,乡村人口数,1061,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,甘肃,2024,乡村人口比重,43.17,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,甘肃,2024,出生率,8.0,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,甘肃,2024,死亡率,8.9,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,甘肃,2024,自然增长率,-0.9,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,青海,2024,总人口,593,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,青海,2024,城镇人口数,379,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,青海,2024,城镇人口比重,63.86,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,青海,2024,乡村人口数,214,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,青海,2024,乡村人口比重,36.14,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,青海,2024,出生率,10.11,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,青海,2024,死亡率,7.41,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,青海,2024,自然增长率,2.7,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,宁夏,2024,总人口,729,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,宁夏,2024,城镇人口数,497,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,宁夏,2024,城镇人口比重,68.22,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,宁夏,2024,乡村人口数,232,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,宁夏,2024,乡村人口比重,31.78,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,宁夏,2024,出生率,10.97,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,宁夏,2024,死亡率,6.45,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,宁夏,2024,自然增长率,4.52,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,新疆,2024,总人口,2623,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,新疆,2024,城镇人口数,1583,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,新疆,2024,城镇人口比重,60.36,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,新疆,2024,乡村人口数,1040,万人,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,新疆,2024,乡村人口比重,39.64,%,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,新疆,2024,出生率,9.42,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,新疆,2024,死亡率,6.05,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-7,新疆,2024,自然增长率,3.37,‰,分地区人口的城乡构成和出生率、死亡率、自然增长率
2-8,总计,2024,人口数,1447437,人,按年龄和性别分人口数
2-8,总计,2024,男,738153,人,按年龄和性别分人口数
2-8,总计,2024,女,709284,人,按年龄和性别分人口数
2-8,总计,2024,占总人口比重,100.0,%,按年龄和性别分人口数
2-8,总计,2024,男占比重,51.0,%,按年龄和性别分人口数
2-8,总计,2024,女占比重,49.0,%,按年龄和性别分人口数
2-8,总计,2024,性别比,104.07,（女=100）,按年龄和性别分人口数
2-8,0-4岁,2024,人口数,51295,人,按年龄和性别分人口数
2-8,0-4岁,2024,男,26768,人,按年龄和性别分人口数
2-8,0-4岁,2024,女,24527,人,按年龄和性别分人口数
2-8,0-4岁,2024,占总人口比重,3.54,%,按年龄和性别分人口数
2-8,0-4岁,2024,男占比重,1.85,%,按年龄和性别分人口数
2-8,0-4岁,2024,女占比重,1.69,%,按年龄和性别分人口数
2-8,0-4岁,2024,性别比,109.14,（女=100）,按年龄和性别分人口数
2-8,5-9岁,2024,人口数,83685,人,按年龄和性别分人口数
2-8,5-9岁,2024,男,44057,人,按年龄和性别分人口数
2-8,5-9岁,2024,女,39628,人,按年龄和性别分人口数
2-8,5-9岁,2024,占总人口比重,5.78,%,按年龄和性别分人口数
2-8,5-9岁,2024,男占比重,3.04,%,按年龄和性别分人口数
2-8,5-9岁,2024,女占比重,2.74,%,按年龄和性别分人口数
2-8,5-9岁,2024,性别比,111.18,（女=100）,按年龄和性别分人口数
2-8,10-14岁,2024,人口数,93925,人,按年龄和性别分人口数
2-8,10-14岁,2024,男,50043,人,按年龄和性别分人口数
2-8,10-14岁,2024,女,43882,人,按年龄和性别分人口数
2-8,10-14岁,2024,占总人口比重,6.49,%,按年龄和性别分人口数
2-8,10-14岁,2024,男占比重,3.46,%,按年龄和性别分人口数
2-8,10-14岁,2024,女占比重,3.03,%,按年龄和性别分人口数
2-8,10-14岁,2024,性别比,114.04,（女=100）,按年龄和性别分人口数
2-8,15-19岁,2024,人口数,85925,人,按年龄和性别分人口数
2-8,15-19岁,2024,男,45958,人,按年龄和性别分人口数
2-8,15-19岁,2024,女,39967,人,按年龄和性别分人口数
2-8,15-19岁,2024,占总人口比重,5.94,%,按年龄和性别分人口数
2-8,15-19岁,2024,男占比重,3.18,%,按年龄和性别分人口数
2-8,15-19岁,2024,女占比重,2.76,%,按年龄和性别分人口数
2-8,15-19岁,2024,性别比,114.99,（女=100）,按年龄和性别分人口数
2-8,20-24岁,2024,人口数,73422,人,按年龄和性别分人口数
2-8,20-24岁,2024,男,39110,人,按年龄和性别分人口数
2-8,20-24岁,2024,女,34312,人,按年龄和性别分人口数
2-8,20-24岁,2024,占总人口比重,5.07,%,按年龄和性别分人口数
2-8,20-24岁,2024,男占比重,2.7,%,按年龄和性别分人口数
2-8,20-24岁,2024,女占比重,2.37,%,按年龄和性别分人口数
2-8,20-24岁,2024,性别比,113.98,（女=100）,按年龄和性别分人口数
2-8,25-29岁,2024,人口数,79527,人,按年龄和性别分人口数
2-8,25-29岁,2024,男,42145,人,按年龄和性别分人口数
2-8,25-29岁,2024,女,37382,人,按年龄和性别分人口数
2-8,25-29岁,2024,占总人口比重,5.49,%,按年龄和性别分人口数
2-8,25-29岁,2024,男占比重,2.91,%,按年龄和性别分人口数
2-8,25-29岁,2024,女占比重,2.58,%,按年龄和性别分人口数
2-8,25-29岁,2024,性别比,112.74,（女=100）,按年龄和性别分人口数
2-8,30-34岁,2024,人口数,101599,人,按年龄和性别分人口数
2-8,30-34岁,2024,男,53085,人,按年龄和性别分人口数
2-8,30-34岁,2024,女,48515,人,按年龄和性别分人口数
2-8,30-34岁,2024,占总人口比重,7.02,%,按年龄和性别分人口数
2-8,30-34岁,2024,男占比重,3.67,%,按年龄和性别分人口数
2-8,30-34岁,2024,女占比重,3.35,%,按年龄和性别分人口数
2-8,30-34岁,2024,性别比,109.42,（女=100）,按年龄和性别分人口数
2-8,35-39岁,2024,人口数,122172,人,按年龄和性别分人口数
2-8,35-39岁,2024,男,62704,人,按年龄和性别分人口数
2-8,35-39岁,2024,女,59468,人,按年龄和性别分人口数
2-8,35-39岁,2024,占总人口比重,8.44,%,按年龄和性别分人口数
2-8,35-39岁,2024,男占比重,4.33,%,按年龄和性别分人口数
